Field,teff,logg,alpha_m,feh,TEFF,TEFF_PredictDecoded,alpha_predict,LOGG_Predict,FEH_Predict,colors,sizes
SPLUS-n03s24_000015143,5677.19,4.181,-0.065214,0.164,-0.17764672036823992,5708.57,0.080119684,4.1653547,0.11765518,0.4005075677900222,-0.17728055077452698
SPLUS-n01s22_000006578,5741.19,4.407,0.160135,-0.08,-0.12010932105868832,5687.5913,0.2580947,4.1452007,-0.27060917,0.4151401527276052,0.21170395869190983
SPLUS-n02s26_000006067,6258.85,4.293,0.164169,-0.424,0.34527833716916057,6110.8623,0.047456026,4.1637845,-0.40530416,0.5334949014586859,0.015490533562823039
SPLUS-n03s26_000002134,5955.98,4.241,0.106013,-0.69,0.07299158515535087,5901.6016,0.18617944,4.1570153,-0.6661285,0.4642484795829713,-0.07401032702237575
SPLUS-n01s37_000009144,4910.23,4.641,0.096421,-0.019,-0.8671605293440736,5098.8853,0.105028726,4.4959126,0.05155094,0.22515432804426358,0.6144578313253009
SPLUS-n03s25_000017445,5583.48,4.419,0.19788,0.086,-0.26189405926352194,5453.7705,0.16617791,4.2796702,0.0019341186,0.3790822625634458,0.23235800344233937
SPLUS-n02s24_000007376,6020.66,4.216,-0.000431,-0.207,0.13114031933256598,6068.9043,0.04914724,4.1266766,-0.42653218,0.4790365357355159,-0.11703958691910454
SPLUS-n03s20_000005598,5537.95,4.304,0.304647,-0.325,-0.3028265247410813,5664.417,0.28762794,4.281856,-0.27052087,0.36867255018519374,0.03442340791738374
SPLUS-n01s26_000009323,5572.03,4.54,0.13342,-0.257,-0.2721878596087457,5604.1924,0.26832712,4.358066,-0.2226995,0.3764644016644565,0.4406196213425124
SPLUS-n02n44_000006475,5273.26,4.61,0.303016,-0.158,-0.5407886219792859,5445.514,0.15591374,4.461919,0.06941437,0.30815537976130614,0.5611015490533564
SPLUS-s02s16_000006360,5343.54,4.365,0.037124,0.334,-0.47760536536248566,5231.9263,0.15140967,3.9082465,0.08232152,0.3242237870958891,0.13941480206540469
SPLUS-n02n28_000006498,5232.38,4.607,0.063627,-0.183,-0.577540635788262,5294.659,0.19948034,4.226736,-0.165241,0.29880881613242494,0.5559380378657481
SPLUS-n01s22_000000627,5585.42,3.995,0.182876,-0.488,-0.2601499568469503,5670.692,0.29922602,4.0209007,-0.46462134,0.3795258127943665,-0.4974182444061963
SPLUS-n02n24_000002095,5715.25,3.951,-0.0447,-0.528,-0.14342994821634036,5749.8906,0.25999132,4.2381897,-0.66525626,0.40920938314509125,-0.5731497418244409
SPLUS-n02s19_000000543,5640.15,4.306,0.357532,-0.483,-0.21094649021864242,5722.3477,0.3041911,4.2363944,-0.4198215,0.3920389592573962,0.03786574870912229
SPLUS-n02s37_000012606,5733.85,4.295,0.408187,-0.532,-0.12670814154200194,5772.9146,0.29736885,4.2172217,-0.623735,0.4134619781425763,0.018932874354560703
SPLUS-n01s25_000002596,5739.21,4.372,0.194779,-0.436,-0.12188938434982699,5791.2295,0.24977884,4.2424207,-0.46531,0.4146874571310989,0.15146299483648828
SPLUS-n02n25_000005966,5821.41,4.104,0.317322,-0.554,-0.047989787111622384,5772.5366,0.30765063,4.169251,-0.56992656,0.43348118341030684,-0.30981067125645456
SPLUS-n02n28_000004598,5765.69,4.011,0.118958,-0.206,-0.09808328538550093,5811.5522,0.13536061,4.138206,-0.26284453,0.4207416891490236,-0.4698795180722888
SPLUS-n02n27_000007719,5313.09,4.545,0.107956,0.02,-0.5049805811277324,5383.106,0.14867781,4.5178075,0.032452762,0.31726187754355495,0.44922547332185836
SPLUS-s02s10_000014697,5687.63,4.363,0.427089,-0.475,-0.16826093210586812,5678.3257,0.24396813,4.2019,-0.30587152,0.40289450820796574,0.13597246127366613
SPLUS-n01s23_000002436,5591.13,4.229,0.337937,-0.27,-0.25501654200230117,5549.7744,0.34170267,4.3763766,-0.4056835,0.3808313137317665,-0.09466437177280529
SPLUS-n02n01_000002478,5804.65,4.111,0.303519,-0.906,-0.06305739355581164,5891.689,0.18554862,4.091048,-0.7621204,0.4296492752297772,-0.29776247848537096
SPLUS-n04s44_000007701,5795.36,4.253,0.185767,-0.204,-0.07140930667433842,5760.124,0.24847427,4.1677375,-0.33536598,0.42752526407243124,-0.05335628227194533
SPLUS-n02s22_000003493,5309.51,4.644,0.169225,-0.101,-0.5081990794016109,5349.4077,0.1755143,4.527983,-0.14408955,0.3164433673236088,0.6196213425129082
SPLUS-n01s24_000007231,5850.07,4.263,0.007632,-1.049,-0.022223820483314505,5931.97,0.16893339,4.0581784,-1.4197733,0.44003383785266803,-0.03614457831325346
SPLUS-n03s28_000006967,5731.57,4.287,0.027919,-0.206,-0.12875791139240533,5694.2954,0.26712137,4.1646276,-0.37661725,0.41294069230417474,0.005163511187607384
SPLUS-n03s43_000012203,6007.46,4.034,0.003392,-0.564,0.11927323072497131,6156.077,0.020959254,4.079429,-0.4176989,0.4760185650921395,-0.43029259896729855
SPLUS-n05n55_000000182,5246.4,3.755,0.448636,-0.479,-0.5649363492520143,5519.1465,0.27244103,3.9620042,-0.24379739,0.302014266770314,-0.9104991394148021
SPLUS-n01s38_000003295,5585.28,3.977,0.162668,-0.567,-0.2602758199079407,5761.3677,0.269207,4.1025414,-0.49304757,0.3794938040148153,-0.5283993115318424
SPLUS-n02s18_000001052,5878.15,4.253,0.254748,-0.498,0.0030207134637514343,5810.854,0.26209068,4.2203794,-0.5264757,0.4464538844940326,-0.05335628227194533
SPLUS-n01s23_000005160,5999.41,4.303,-0.052994,-0.643,0.11203610471806691,5808.233,0.28615838,4.1173034,-0.94607216,0.4741780602679592,0.03270223752151402
SPLUS-n01s25_000003411,5574.89,4.403,0.065973,-0.037,-0.2696166570770995,5610.6196,0.20334204,4.3653264,-0.17859828,0.3771182953038549,0.20481927710843273
SPLUS-n02n25_000003698,5803.16,4.028,0.095418,-0.403,-0.06439693613348663,5754.197,0.29205567,4.053413,-0.46654007,0.4293086103616992,-0.4406196213425142
SPLUS-s02s11_000003960,5859.43,4.337,0.086532,-0.21,-0.013808975834291637,5670.649,0.26715925,4.1544967,-0.29834685,0.44217385339978976,0.09122203098106674
SPLUS-n02n18_000002704,5307.8,4.605,0.130735,0.102,-0.509736406789413,5330.98,0.14919928,4.5422583,0.024028517,0.31605240294480774,0.5524956970740105
SPLUS-n01s25_000002357,5711.4,4.198,0.373874,-0.487,-0.14689118239355636,5721.981,0.30934218,4.0966077,-0.47821143,0.40832914170743956,-0.14802065404474973
SPLUS-n02n20_000007616,5962.04,4.165,0.285566,-0.886,0.07843965765247418,5947.335,0.13567224,4.1142306,-0.7461102,0.4656340024692487,-0.20481927710843362
SPLUS-n03s20_000002529,5407.49,4.318,0.256096,-0.28,-0.4201129171461453,5417.567,0.35318744,4.456631,-0.43091983,0.33884494032648943,0.05851979345955183
SPLUS-n03s21_000011027,5387.2,4.642,0.137351,0.166,-0.43835407077100097,5314.1553,0.12898606,4.543079,0.08311445,0.3342059536329965,0.6161790017211706
SPLUS-n02n25_000006229,5834.45,3.963,0.106795,-0.953,-0.03626654200230117,5960.0786,0.12854417,4.1254277,-0.76560766,0.43646257259133936,-0.5524956970740105
SPLUS-n01s20_000008751,5534.02,4.639,0.02655,0.008,-0.30635968066743313,5384.844,0.22775191,4.3146524,-0.20803893,0.36777401801637033,0.6110154905335623
SPLUS-s03s04_000012197,6041.58,4.13,0.210297,-0.09,0.14994785673187572,5804.748,0.15475118,4.0778966,-0.17753631,0.4838195619369884,-0.26506024096385605
SPLUS-n03n01_000004320,5727.02,4.358,0.146917,0.041,-0.13284846087456792,5689.1074,0.1771835,4.246789,-0.16393703,0.4119004069687687,0.1273666092943193
SPLUS-s02s13_000009595,6119.41,4.281,0.1329,-0.372,0.21991872842347515,5927.2637,0.13277492,4.1751485,-0.543637,0.501614157025927,-0.005163511187608272
SPLUS-s02s02_000016522,5811.98,4.179,0.080303,-0.128,-0.056467563291139555,5733.89,0.19030339,4.166058,-0.35775945,0.4313251634734097,-0.18072289156626464
SPLUS-n01s24_000002426,6362.31,4.224,0.074461,-0.507,0.43829113924050667,6371.345,0.054952376,4.1431084,-0.5638866,0.5571493895468471,-0.10327022375215122
SPLUS-n03s18_000005478,5082.85,4.67,0.521239,-0.637,-0.7119713751438432,5239.723,0.3360255,4.506248,-0.5020499,0.2646211532306004,0.6643717728055076
SPLUS-s02s09_000013758,5752.74,4.07,0.317767,-0.437,-0.10972561852704299,5642.619,0.3192536,4.0275455,-0.45969036,0.41778087704055955,-0.3683304647160064
SPLUS-n03s21_000004744,5811.08,4.256,0.028924,0.012,-0.05727668296892929,5780.849,0.13857946,4.241876,-0.12214544,0.43111939274772515,-0.04819277108433706
SPLUS-n03s24_000001844,5804.3,4.182,0.260578,-0.392,-0.06337205120828493,5774.7437,0.27636844,4.0583954,-0.44578916,0.42956925328089995,-0.17555938037865726
SPLUS-n02n28_000005608,5889.97,4.088,-0.019003,-1.176,0.013647151898734222,6034.3022,0.08753132,4.14965,-0.7462728,0.44915634002469246,-0.3373493975903612
SPLUS-s02s10_000009429,6216.2,4.1,0.472055,-1.835,0.3069350546605296,6164.3926,0.15189078,4.0761976,-1.5966413,0.5237436554026247,-0.31669535283993167
SPLUS-n02n23_000010774,5529.99,4.649,0.363924,-0.243,-0.30998273878020743,5568.4536,0.32670522,4.264297,-0.37995344,0.3668526224335817,0.6282271944922542
SPLUS-s02s03_000018589,5551.9,4.207,0.112317,0.212,-0.2902851697353279,5554.468,0.12803873,4.168986,0.14981315,0.3718619964333074,-0.13253012048192847
SPLUS-n03n01_000009303,5645.38,4.326,0.244636,-0.43,-0.20624460586881455,5670.3013,0.2747455,4.2486224,-0.44509327,0.3932347158077644,0.07228915662650515
SPLUS-n02s26_000004860,6585.54,4.206,0.005719,-0.798,0.6389797899884933,6456.261,0.1571755,4.1091204,-0.88388216,0.6081873885408571,-0.13425129087779641
SPLUS-s02s02_000013005,5713.32,4.412,0.119821,0.119,-0.14516506041426958,5640.958,0.17865829,4.2904134,-0.04914031,0.4087681192555671,0.22030981067125577
SPLUS-n02n21_000003860,5492.52,4.456,0.283591,-0.243,-0.34366908803222085,5442.8057,0.29581547,4.4126225,-0.43577853,0.3582857012209063,0.29604130808950124
SPLUS-n01s37_000001153,5694.89,4.419,0.011292,0.093,-0.16173403337169123,5695.019,0.10880976,4.25776,0.09505337,0.40455439206182275,0.23235800344233937
SPLUS-n02s37_000002943,5511.71,4.396,0.122653,0.084,-0.32641685845799717,5443.4087,0.14548641,4.168649,0.054582752,0.36267319036078477,0.19277108433734913
SPLUS-n05n55_000008271,5600.17,3.902,0.086376,-0.255,-0.246889384349827,5695.2134,0.2476043,4.1638603,-0.27305055,0.38289816635420004,-0.6574870912220305
SPLUS-s02s04_000004851,5608.09,4.023,0.368035,-0.477,-0.23976913118527055,5683.4463,0.14025202,4.1315517,-0.6507794,0.3847089487402258,-0.44922547332185925
SPLUS-n01s20_000003964,5980.48,4.089,-0.0126,-0.466,0.09501762082853826,5937.6606,0.14635509,4.0666966,-0.90636855,0.46985001600438964,-0.3356282271944915
SPLUS-n04s02_000005457,6257.21,4.119,-0.006489,-0.475,0.34380394131185277,6360.3237,0.080712706,4.1302247,-0.5170513,0.5331199414696602,-0.28399311531841676
SPLUS-n03s21_000001518,5549.31,4.308,0.393877,-0.247,-0.2926136363636358,5615.1436,0.26989806,4.2832866,-0.21318358,0.37126983401161473,0.04130808950085996
SPLUS-s02s04_000005674,5533.49,4.47,0.177791,-0.429,-0.3068361622554665,5561.15,0.30256557,4.268415,-0.4290273,0.3676528419223557,0.32013769363166844
SPLUS-n05n53_000004025,5718.84,4.518,0.100216,0.116,-0.14020245972382028,5724.2485,0.16201453,4.2414284,-0.11666111,0.4100301797064338,0.40275387263339013
SPLUS-n01s25_000005286,5774.74,4.268,0.133117,-0.398,-0.08994713751438432,5817.974,0.17485285,4.1342444,-0.356472,0.42281082811285375,-0.027538726333907526
SPLUS-n06s40_000004271,5902.4,4.017,-0.072203,0.043,0.024821993670886222,5923.3604,0.024344953,4.0521975,-0.022795483,0.45199826238053864,-0.4595524956970731
SPLUS-n03s26_000002651,5289.08,4.429,0.057647,0.129,-0.526566096087457,5310.641,0.14019467,4.5344524,0.08369968,0.31177237185056467,0.24956970740103301
SPLUS-n05n54_000002665,5026.51,4.738,0.118682,-0.072,-0.7626222669735325,5100.418,0.14670014,4.6357055,-0.122593895,0.25173990580273453,0.7814113597246131
SPLUS-n03s20_000005698,5453.88,4.417,0.199678,-0.05,-0.37840729286536234,5545.7207,0.16599987,4.3769574,0.01836183,0.34945127806484066,0.2289156626506017
SPLUS-s03s03_000004439,5754.28,4.282,0.272043,-0.517,-0.10834112485615677,5713.8877,0.2917234,4.1776423,-0.55186,0.4181329736156202,-0.003442340791738552
SPLUS-n03s43_000010515,6004.86,4.304,-0.050739,-1.073,0.11693577387802101,6083.106,0.05864293,4.13277,-1.0417987,0.4754241163290503,0.03442340791738374
SPLUS-n02n27_000005382,5323.15,3.834,0.196639,-0.355,-0.4959364211737629,5519.549,0.17841871,4.174314,-0.10145347,0.3195619369884311,-0.774526678141136
SPLUS-n02s26_000009307,5965.15,3.996,0.128729,-1.297,0.08123561565017212,6039.3257,0.07920078,4.091397,-1.2166859,0.4663450546435592,-0.4956970740103275
SPLUS-s02s03_000007235,5494.88,4.255,0.199851,-0.18,-0.3415473964326807,5555.4634,0.23770411,4.2186913,-0.1669397,0.3588252777904798,-0.04991394148020678
SPLUS-n04s01_000002020,5408.32,3.935,0.19709,0.023,-0.41936672899884897,5421.054,0.20650317,4.006664,-0.12359972,0.3390347066623989,-0.6006884681583475
SPLUS-s02s13_000000653,5774.12,3.899,0.380623,-0.572,-0.09050453107019596,5815.9126,0.13899584,4.0841746,-0.8313253,0.4226690749462709,-0.6626506024096388
SPLUS-n02s18_000006429,5288.39,4.619,0.151035,-0.067,-0.5271864211737629,5337.2153,0.1497005,4.539046,-0.04224459,0.3116146142942064,0.5765920826161777
SPLUS-s02s10_000015410,5923.19,4.14,0.094087,-0.225,0.043512658227848,5734.029,0.308718,4.0744257,-0.5408503,0.45675156614385654,-0.24784853700516418
SPLUS-n04s42_000002130,5164.26,4.651,0.287859,-0.148,-0.6387820051783653,5177.0073,0.2187014,4.578882,-0.20885986,0.28323425853948525,0.6316695352839918
SPLUS-n01s25_000005548,5011.27,4.66,0.088783,-0.034,-0.7763233601841195,5147.649,0.11790697,4.614312,-0.025346719,0.24825552151447258,0.6471600688468158
SPLUS-n03s27_000000187,5938.47,4.347,0.096616,-0.19,0.0572497123130038,5805.4824,0.16719818,4.1435714,-0.35520425,0.46024509579770456,0.1084337349397595
SPLUS-n01s38_000002689,5587.49,4.307,0.186982,-0.301,-0.2582889815880325,5746.9854,0.16309063,4.2233253,-0.34766087,0.3799990854634413,0.03958691910499201
SPLUS-n02n01_000003952,5802.4,4.025,-0.117921,0.045,-0.06508019275028776,5904.07,0.020853583,4.085311,0.07200163,0.4291348484155654,-0.4457831325301198
SPLUS-s02s04_000009912,5745.23,3.966,0.162887,-0.957,-0.11647727272727337,5876.02,0.15416573,4.0399494,-0.91428643,0.41606383465179,-0.5473321858864022
SPLUS-s02s23_000003458,5743.63,4.293,0.098307,0.325,-0.11791570771001147,5629.579,0.09272844,4.28103,0.17383265,0.4156980200283506,0.015490533562823039
SPLUS-n03s21_000006623,5549.29,3.753,0.091815,-0.44,-0.29263161680092065,5748.634,0.1935826,4.0442157,-0.27450106,0.3712652613288216,-0.9139414802065406
SPLUS-n01s21_000004412,6166.58,4.299,-0.018656,-0.507,0.2623255897583432,6005.0464,0.115225665,4.1437144,-0.71481663,0.512398829393205,0.025817555938037806
