ID,RA,DEC,Field,FWHM,ISOarea,KRON_RADIUS,MU_MAX,nDet_PStotal,PhotoFlagDet,CLASS_STAR,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal,e_u_PStotal,e_J0378_PStotal,e_J0395_PStotal,e_J0410_PStotal,e_J0430_PStotal,e_g_PStotal,e_J0515_PStotal,e_r_PStotal,e_J0660_PStotal,e_i_PStotal,e_J0861_PStotal,e_z_PStotal,feh_predict
b'iDR3.SPLUS-s29s47.009886 ',317.73469362459645,-37.97937735800619,b'SPLUS-s29s47 ',3.3174458,32,4.097778,16.058163,12.0,0,0.9585887,20.700483,20.099127,20.60088,19.930809,19.964191,19.526642,19.439667,19.080223,18.565264,18.965298,18.960678,18.862755,0.122870214,0.122606985,0.308703,0.15433054,0.14762686,0.035227116,0.07567122,0.025866143,0.026083454,0.031210491,0.07027088,0.052306786,0.4624802
b'iDR3.SPLUS-s26s20.034207 ',30.24502774425558,-32.95707662666413,b'SPLUS-s26s20 ',1.9891171,33,3.5316584,14.223913,11.0,0,0.9807032,99.0,20.68412,21.925371,20.8438,21.973894,20.50253,20.0932,19.070393,18.11322,17.746164,17.298103,17.133783,21.92307,0.2711708,1.3643992,0.48200223,1.2593094,0.119320735,0.17767578,0.028998235,0.01553827,0.011496443,0.017278815,0.011116757,-13.040973
b'iDR3.SPLUS-s26s50.014685 ',320.4763205990012,-34.01092575185566,b'SPLUS-s26s50 ',2.6144326,28,3.7521002,15.459876,12.0,0,0.9794475,21.214352,20.83884,20.486904,20.452888,20.405256,19.632763,19.412592,19.071438,18.836397,19.199032,18.62907,20.262054,0.14691006,0.16190472,0.19264458,0.18131325,0.17747997,0.03249054,0.061487667,0.019980373,0.021033948,0.025174867,0.033499908,0.09626816,0.5093149
b'iDR3.SPLUS-s26s50.059948 ',320.078846062142,-33.164246001254064,b'SPLUS-s26s50 ',2.1712186,38,3.6363735,14.984785,12.0,0,0.9802411,21.365005,20.512033,20.637718,20.503433,19.352592,19.759628,19.933226,19.052559,18.628345,18.630026,18.347996,18.346233,0.17353596,0.12871218,0.22776158,0.18743433,0.07519843,0.035316877,0.091377996,0.019944083,0.018541612,0.01670989,0.027132927,0.019652538,0.46946067
b'iDR3.SPLUS-s19s24.024604 ',318.5461777966166,-24.267540361812284,b'SPLUS-s19s24 ',6.0379696,56,5.411625,16.386585,12.0,0,0.8373538,21.197746,20.777166,20.70569,21.008766,20.502438,20.144804,19.89632,19.03564,17.685387,18.919655,18.15051,18.423466,0.15578146,0.19425853,0.35062465,0.40073916,0.26654315,0.069798626,0.13202913,0.032144856,0.01670796,0.04128751,0.044946596,0.048709445,0.4903953
b'iDR3.SPLUS-s20s24.039602 ',317.6373777003359,-25.56973718561809,b'SPLUS-s20s24 ',2.040637,31,3.6072543,14.891815,12.0,0,0.99982303,23.559505,22.310331,21.749495,21.728155,20.85453,20.108074,20.014599,18.95364,18.15271,18.453335,18.27183,18.242891,1.1141622,0.6104778,0.63128716,0.5461869,0.25067914,0.045561068,0.09542428,0.019141708,0.014559335,0.01710073,0.031065729,0.023849353,0.5618237
b'iDR3.SPLUS-s19s22.028788 ',316.07809698256983,-24.321055197638227,b'SPLUS-s19s22 ',5.0270987,47,4.7096977,16.506527,12.0,0,0.9007669,19.72187,19.876038,20.011066,19.795727,19.794958,19.717316,19.50761,19.108822,18.699123,18.981506,18.940113,18.827896,0.052454855,0.101623796,0.1676137,0.12463304,0.11620883,0.038776934,0.08095816,0.027285688,0.02537541,0.03239573,0.06514907,0.048806384,0.45205712
b'iDR3.SPLUS-s27s47.000284 ',316.4120535567434,-35.57462618104087,b'SPLUS-s27s47 ',5.7074714,38,4.43525,15.429444,12.0,0,0.97282284,19.59141,19.447117,20.294329,19.434305,19.774715,18.60191,20.338188,18.928568,17.678333,20.215137,17.504265,18.89985,0.050088003,0.060313422,0.22500569,0.08696335,0.107838646,0.01738559,0.13510607,0.02253073,0.013494912,0.09581603,0.021138545,0.0584872,0.48386317
b'iDR3.SPLUS-s28s47.011549 ',315.8670028713348,-36.63468803069853,b'SPLUS-s28s47 ',2.483907,31,3.4013531,16.287567,12.0,0,0.9634695,21.027071,21.34063,20.074574,20.205122,20.002132,19.47528,19.28421,19.104435,18.896183,19.290316,18.844397,19.912846,0.14762384,0.34162107,0.18971832,0.1822723,0.14961375,0.03225052,0.06778068,0.024637384,0.025250189,0.03833319,0.061842702,0.12015371,0.5789799
b'iDR3.SPLUS-s23s25.052073 ',321.89068762422187,-29.16805570135933,b'SPLUS-s23s25 ',2.771314,40,3.8557262,15.546387,12.0,0,0.97466296,19.131218,18.86634,19.153292,19.316256,19.223812,19.25532,19.174131,18.921604,18.60122,18.912563,18.89381,18.854284,0.032311995,0.042063188,0.08062036,0.080938585,0.07008716,0.026453977,0.05518647,0.020228554,0.021283444,0.024503373,0.07258723,0.040988073,0.3871552
b'iDR3.SPLUS-s29s48.033173 ',318.9599439823258,-37.37003380116829,b'SPLUS-s29s48 ',3.365954,43,4.540196,16.034447,12.0,0,0.9612377,19.447277,19.484158,19.235966,19.374588,19.14692,19.367844,19.452833,19.041393,18.748497,19.008406,19.094126,19.011814,0.04833361,0.088699974,0.09662115,0.09128725,0.07362129,0.031807635,0.0737089,0.025549721,0.02262863,0.03167032,0.06923911,0.053327102,0.44681254
b'iDR3.SPLUS-s32s44.024303 ',316.4538423121035,-41.63963878136685,b'SPLUS-s32s44 ',2.146943,17,3.5772688,15.359295,12.0,0,0.9594667,19.619122,19.175482,20.16651,20.13559,19.550959,19.518728,19.830006,19.108494,18.764551,19.007446,18.864746,18.885551,0.109377176,0.09772088,0.38810962,0.34712717,0.17787227,0.063361354,0.17020006,0.035364192,0.0326353,0.0363947,0.07470478,0.05169274,0.40465093
b'iDR3.SPLUS-n15s08.016160 ',159.60924665839354,-19.09839068360148,b'SPLUS-n15s08 ',4.24288,40,4.1029096,16.21648,12.0,0,0.9103144,19.438765,19.245258,19.16238,19.315899,19.223288,19.208,19.213583,18.985708,18.626814,18.882862,19.019165,18.889006,0.05036645,0.070024155,0.09830101,0.09791557,0.092684776,0.032351688,0.069892436,0.028450089,0.026557177,0.036529224,0.092284106,0.07005109,0.41645986
b'iDR3.SPLUS-n13s06.025803 ',157.12900130331832,-16.320215163623836,b'SPLUS-n13s06 ',2.2724173,23,4.139357,15.55799,12.0,0,0.97737104,21.81632,21.438099,20.887901,21.134075,21.57928,20.405514,20.303041,19.09121,17.936409,19.029766,18.485966,18.552252,0.4701938,0.4418219,0.4640666,0.51030254,0.7546563,0.080631,0.1885198,0.024686709,0.01330666,0.030601531,0.043245353,0.03846591,0.54407126
b'iDR3.SPLUS-n13s06.029844 ',157.1827613944662,-16.21759565677345,b'SPLUS-n13s06 ',1.9969251,29,3.6562428,14.811903,12.0,0,0.99978244,18.793295,18.874846,18.905811,19.33259,19.136894,19.34896,19.11957,18.899212,18.172813,18.288671,17.874853,17.750017,0.04155143,0.054406736,0.089212075,0.109359376,0.092621446,0.035641965,0.07174008,0.021580173,0.015404754,0.017255707,0.026492624,0.019800337,0.32663965
b'iDR3.SPLUS-n14s19.056644 ',175.5145118795228,-17.134776808220042,b'SPLUS-n14s19 ',2.5786066,32,3.703614,15.33079,12.0,0,0.97587013,22.808062,22.608402,21.349224,20.781645,21.24078,20.260193,20.236813,19.102081,18.142212,18.582727,18.3858,18.3292,0.65568477,1.0644872,0.46768314,0.2413478,0.3516053,0.05269556,0.11530814,0.022220906,0.013616774,0.019250266,0.034358002,0.026156135,0.6024793
b'iDR3.SPLUS-n17s15.033583 ',171.20959290728663,-21.505975597215368,b'SPLUS-n17s15 ',2.439035,33,3.9682858,15.459639,12.0,0,0.9762681,21.369612,20.691336,20.430532,20.014923,19.7942,20.00084,19.828533,19.06685,18.659866,18.79885,18.396263,18.310152,0.23728704,0.19690321,0.2485167,0.15643933,0.1283855,0.053276632,0.101253346,0.024670176,0.020957503,0.023450214,0.03580936,0.02720644,0.49743629
b'iDR3.SPLUS-n18s21.005020 ',179.97301894613736,-23.535309753631783,b'SPLUS-n18s21 ',1.6995745,19,3.1659908,14.713738,12.0,0,0.98174614,21.010792,21.129707,20.704514,20.54665,20.408745,20.071232,19.900291,19.069551,18.576227,18.707542,18.370193,18.488117,0.1479916,0.2372575,0.24668404,0.18893594,0.15642506,0.039910007,0.081665,0.019905075,0.019305073,0.018339533,0.035428945,0.026014661,0.5020538
b'iDR3.SPLUS-n18s12.035946 ',166.92684686544797,-22.378917081608428,b'SPLUS-n18s12 ',3.0232022,28,3.9300225,15.457621,12.0,0,0.94655955,21.849916,21.18055,20.750488,20.253891,19.47715,19.75013,19.626825,19.06596,18.298883,18.812847,18.752808,18.58213,0.69263893,0.52855235,0.5010906,0.32274497,0.15218103,0.07551254,0.12921713,0.031501643,0.019925825,0.02984783,0.0549904,0.04441047,0.5420793
b'iDR3.SPLUS-n16s17.029996 ',174.45820819375535,-20.1269725960127,b'SPLUS-n16s17 ',2.751398,24,4.0770693,15.572369,12.0,0,0.95651585,19.066475,18.98397,19.051802,18.968483,19.083027,18.943396,18.888792,18.900557,18.25409,19.217129,19.151272,19.227955,0.039288852,0.06040429,0.10631155,0.09941511,0.09944804,0.03749708,0.069017604,0.028884623,0.019647844,0.042096186,0.089632586,0.066245824,0.43030566
b'iDR3.SPLUS-n16s16.000126 ',173.07177240626325,-20.95173488814178,b'SPLUS-n16s16 ',6.008996,69,4.629174,15.705661,12.0,0,0.8985234,22.808271,21.7826,20.350716,20.145737,20.910652,18.743288,20.011936,19.057617,18.090685,19.255672,17.1166,18.711359,0.6433692,0.43456587,0.21601321,0.17756434,0.31809774,0.022212783,0.11170193,0.02569211,0.014853398,0.03635602,0.015370282,0.04173402,0.58803403
b'iDR3.SPLUS-n17s03.052615 ',154.60991925945083,-21.04648934946406,b'SPLUS-n17s03 ',1.9101511,19,2.547847,15.282194,11.0,0,0.99298954,22.925213,25.218317,21.298891,20.838001,20.613747,19.862202,20.092852,18.941242,18.502497,18.751072,17.714994,99.0,0.88153684,10.683964,0.5237913,0.34453166,0.25621393,0.04864879,0.12718096,0.021593554,0.018708203,0.023887463,0.022373043,21.43974,0.19431114
b'iDR3.SPLUS-n18s18.042291 ',175.16838548521974,-22.769741203504857,b'SPLUS-n18s18 ',1.907577,23,3.34361,14.697325,12.0,0,0.9772688,20.41018,19.942596,19.698843,19.590687,19.566654,19.293968,19.24872,18.89909,18.512817,18.755339,18.623348,18.686073,0.076436475,0.08111282,0.110098906,0.09296195,0.0899095,0.03086384,0.058783878,0.021394314,0.018706523,0.022329327,0.042331457,0.03515703,0.4434193
b'iDR3.SPLUS-n15s16.016373 ',171.5197650884042,-19.18549272993258,b'SPLUS-n15s16 ',3.1648252,35,3.974163,15.747137,12.0,0,0.96865934,19.453167,19.466908,19.742577,19.58807,19.40864,19.513786,19.40089,19.033281,18.707323,18.944159,18.99363,18.91991,0.037598196,0.06106405,0.12876885,0.10292665,0.08394448,0.031736866,0.06457323,0.022090906,0.019844806,0.026397288,0.058014527,0.045424707,0.4244675
b'iDR3.SPLUS-n16s03.034560 ',153.58893890848816,-19.62479346546132,b'SPLUS-n16s03 ',2.7052686,37,3.9979253,15.204747,12.0,0,0.97449535,23.116064,23.464546,21.001854,22.669899,20.987347,20.287739,20.075153,19.016396,17.7799,18.076138,17.543835,17.645546,1.5221473,3.3608198,0.5423808,2.4986064,0.5081059,0.11478208,0.18057843,0.029782485,0.0133503005,0.017110072,0.021336399,0.019111635,0.6292396
b'iDR3.SPLUS-n13s05.050584 ',155.96476276969537,-15.935014949318251,b'SPLUS-n13s05 ',2.584116,37,4.275405,15.471069,12.0,0,0.9725144,20.093464,19.956152,19.948381,20.10562,19.719694,19.54477,19.359173,19.064518,18.6125,19.032827,18.374043,18.667974,0.07802535,0.11052856,0.18872169,0.1828397,0.13054775,0.036577474,0.07189958,0.022587694,0.023217246,0.025649803,0.030532323,0.031351123,0.46285325
b'iDR3.SPLUS-n15s22.034561 ',179.91549594149362,-18.66412114885025,b'SPLUS-n15s22 ',2.2979102,21,3.3866134,15.15667,12.0,0,0.97546935,22.452305,21.006573,20.522915,21.140816,20.369993,19.692156,19.928383,18.973297,18.410732,18.745285,18.611721,18.643604,0.9188847,0.40640932,0.3839811,0.65453094,0.30734795,0.06973716,0.16296992,0.030135956,0.022347048,0.027433923,0.048155103,0.03961812,0.5173568
